tweets,id
"two male roommat two differ hous scenario drunk pound door sex felt entitl I blame one candid convo accept dinner date whyididntreport",1
"I stand believ cannot tell sorri I u2019t u2019t report whatev reason It heartbreak unjust I stand send love peac you love valuabl noth wrong metoo whyididntreport",2
"I hospit friend thought drug amp rape they told would cost lot drug test kind insur amp would wait follow mon go clinic rape kit whyididntreport",3
"I turn 18 I new freshman He basebal team amp everyon love when I went right peopl ask I wear ask I u2019d drink told I wrong u2019t rape I kiss whyididntreport",4
"whyididntreport ni 9 nit uncl nhe rape nmi famili u2019t believ would anybodi els",5
"realcandaceo trump serial predat women So I doubt champion candac still deal turn moral fame I see and dem tri get sexual harass act pass amp R care enough whyididntreport goppred",6
"I 16 u2019t say word I scare would happen would hate everyon would say It easier wish away whyididntreport sadthisneedsexplain",7
"better yet person ask u201cwhat power role I play end cultur sexual assault harass u201d then start until keep feign concern theatric confus amp pearl clutch behavior respons whyididntreport",8
"ronda19871316 alyssa_milano realdonaldtrump I believ whyididntreport",9
"gop senatemajldr senategop senjudiciari senatorcollin lindseygrahamsc senorrinhatch lisamurkowski senbobcork n dearprofessorford whyididntreport http co k1u7g40su7",10
"most peopl laugh man victim need save ridicul whyididntreport",11
"send tweet report murder process complet suicid whyididntreport",12
"though I quit shi bare post virgin respect fundamentalist rapist explain I slut I deserv go braless fashion 1972 whyididntreport",13
"heartbreak read whyididntreport account A good remind fight far also rememb account women life ridicul think could report time cop told friend I outfit u201cask troubl u201d",14
"now great time remind peopl joe araipo sheriff Az not investig sex crime immigr children young 2 nwomen expend gop immigr children n whyididntreport http co xac6nibqfi",15
"just everi woman I date age 20 30 told time rape assault boyfriend rel stranger onli 1 went polic ever I understand whyididntreport I believ",16
"wkamaubel that make differ regard actual guilt how get troubl juri think well black whyididntreport",17
"democrat latest victim hashtag tri get way pathet whyididntreport",18
"I 12 first time I assault It happen 3 time I 30 I rape I knew one would believ I never report whyididntreport",19
"anyon think professor ford come forward 30 year later call horribl experi doubt No scratch anyon ever doubt sexual assault harass survivor need read whyididntreport whywomendontreport",20
"hey let ask dougjon happen last time gop senategop senatemajldr etc ignor made light credibl sexual assault claim Or merrick garland decidedli assault alleg free n n metoo n believewomen n whyididntreport n fridayfeel",21
"disabl friend disabl effect whyididntreport experi http co qsg4qcgu9x",22
"alyssa_milano realdonaldtrump and saw rel I seen sinc 9 came back point physic ill day told one sexual assault done age 8 rememb surviv stand proud say I good whyididntreport",23
"the last time I felt foolish 40 someth woman fall trap I threw 2 day could bare get bed n n whyididntreport",24
"the scarlet letter still get sewn victim whyididntreport",25
"there much shame guilt report rape n nbut assault n nthere total differ mental psycholog differ n nassault report immedi author order perpetr stop n n whyididntreport",26
"t3offici but proof give ofc speak right away better u2019 easi look whyididntreport",27
"whyididntreport famili member I realli one turn",28
"everi second anoth 20 entri pop hashtag whyididntreport It heartbreak read eye open anyon take serious",29
"Me 12 yr old him 60 yr old well respect busi owner when kill accid I cri I free I told I right believ My mother sister granddaught adopt daughter also victim n whyididntreport",30
"whyididntreport becaus I yet heard term self fulfil propheci",31
"the whyididntreport hashtag import becaus peopl u2019t understand women men u2019t report It u2019 u2019r make stuff system victim",32
"funder realdonaldtrump you sound like classi guy It take real man tell the presid go fuck manipul sexual assault victim use hashtag whyididntreport",33
"I stand read stori share whyididntreport ladi read I want know I believ stori truth you much happen valid I believ IN you and get better I promis",34
"whyididntreport for reason I chickenshit give detail social media hashtag 15 year later societi still grasp epidem the frequenc linger pain fear jeopard career the truth",35
"I femal teacher she told women boy misunderstood happen whyididntreport I lie mislead I 11 year old boy",36
"TW sexual assault n ni u2019m read whyididntreport tag u2019m heartbroken mani brave peopl come forward stori kill know small portion peopl sexual assault",37
"cillizzacnn that u2019 rich cillizzacnn corybook amp keithellison skate part coup but msm must crucifi conserv proof whyididntreport idiot",38
"becaus neighbor mom told meant well nice guy whyididntreport",39
"realtrumpfan byronyork hughhewitt gop you u2019r clearli oblivi whyididntreport movement today",40
"whyididntreport uncl would pack thing send back home next day older cousin use long stick bedroom mine middl night tickl feet claim play",41
"becaus I woman n whyididntreport",42
"whyididntreport I eight I told adult I trust but told I lie period 10 year later I found thing happen cousin decad prior person u2019t believ that u2019 whi",43
"whyididntreport guy grope crowd parti laugh n nhe author figur report I made would gone",44
"To everi survivor share whyididntreport I believ I support u270a",45
"He uncl done two women famili swept rug one women told I know go tell don say loud whyididntreport",46
"My mom told fault amp I believ and woman rape report amp noth happen n n whyididntreport",47
"just think women girl see http co xne2zoczfn treatment assault yet trump gop creat new gener scare silent victim nhe alway take us backward whyididntreport",48
"bill clinton whyididntreport",49
"devo ye trump leak tape comment describ sexual assault n nhttp co gyqfyyaeey n n resist trump metoo stormydaniel n whyididntreport christineblaseyford kavanaugh",50
"Oh ladi amp you good men snapchat instashar amp support voic amp importantli hear now womenvoteblu metoo whyididntreport via hoarsewisper http co rk6u8stvyh",51
"alyssa_milano realdonaldtrump 1984 told mother yesterday whyididntreport wa sure nobodi would believ see mani similar stori wake gop call leadership metoo",52
"I tri tell throat close No word could come He told I one would get troubl I nine whyididntreport",53
"whyididntreport well make absolut fuck sens http co lxtxrgs1hz",54
"whyididntreport http co uqk4a9eqjv",55
"go whyididntreport tweet heartbreak the fear shame self blame victim sexual assault carri heavi burden It time like I realiz import bts_twt u2019 messag love http co sap4geatjt",56
"and I told psychiatrist I old enough realiz wrong report even though requir law whyididntreport",57
"becaus high school boyfriend I love whyididntreport",58
"hawks_04 johndavidmaher1 odnttheseri realdonaldtrump whyididntreport thread",59
"whyididntreport I I 17 turn 18 22 but cop u2019t believ He refus file report refus restrain order As I turn leav said u201cnext time leav adult thing adult sweetheart u201d",60
"child nbecaus babysitt said would tell parent bad u2019t nbecaus told deep want nthank god nosey neighbor n n whyididntreport",61
"thread whyididntreport http co j3y9jk9chr",62
"I 15 17 alreadi knew I would get humili blame like justic whyididntreport",63
"ugestshirley alyssa_milano realdonaldtrump our colleg continu fail whyididntreport",64
"the toxic masculin home famili member drunk whyididntreport",65
"whyididntreport age I threaten I would career destroy suspect rightli polic sympathet put person attack dock",66
"whyididntreport got drunk I knew I u2019d label parti girl",67
"christin blasey ford thought kavanaugh might inadvert kill that u2019 hard cover mouth scream that kind monster belong courtroom defend judg whyididntreport",68
"whyididntreport what happen 13 daughter got relat two male polic detect detail rape she repeat innumer time mostli make polic then face rapist open court 2",69
"after trump tweet survivor sexual assault respond whyididntreport cnn http co jgvtqvcosp everyon need read everi one",70
"alyssa_milano realdonaldtrump I 19 I rape roommat It 1981 In day victim shame blame rule land metoo whyididntreport istandwithchristineblaseyford",71
"whyididntreport I chief polic offer drive home tri u201cflirt u201d rape",72
"senschum thi exactli thank senschum whyididntreport",73
"hollywood produc explain whyididntreport quit well n n http co he6eikixum via thr",74
"whyididntreport I think anyon would believ",75
"when I 7 8 boy felt classroom n nthe teacher respons well make n nin yr everi time someon ignor stop hurt question never left head n nit still n n whyididntreport",76
"thi power emot hashtag I u2019d urg read aw stori thi issu need address whyididntreport",77
"whyididntreport peopl believ accus republican http co hm7fq5b8vr",78
"morethanmysl that make differ regard actual guilt whyididntreport",79
"An hour ago whyididntreport 35k tweet now u2019 90 n nnyt rosenstein stori look like standard trump media play n n1 fire rosenstein n2 distract kavanaugh fail n ntrump want kavanaugh scotu help save ass justic come n getwok",80
"whyididntreport I around nine year old that 1971 I understand I know happen metoo",81
"whyididntreport n nif I report night I probabl would believ least famili whi I u2019t complic http co awgaoqvlj3",82
"becaus freshman year colleg alreadi small popul poc I think I would believ support whyididntreport",83
"let see molest teen 2 differ famili member the attempt rape 16th birthday home gun head Or rape 22 I report rape result other whyididntreport",84
"stop u2019r read tweet whyididntreport stop fuck ask victim u2019t speak sooner",85
"hello_jaim metoo whyididntreport",86
"If want understand whyididntreport read http co srygttutd",87
